station,lat,lon,elev,tjan,tjul,tann,pjan,pjul,pann,idnum,Name
NYS,43.867,-117,666,-2,24,10.6,35,5,256,356179,NYSSA USA-OR
OCH,44.4,-120.433,1212,-3.6,16.1,6,58,13,458,356243,OCHOCO RANGER STATION USA-OR
ONT,44.05,-116.967,654,-1.9,24.9,11,37,4,244,356294,ONTARIO KSRV USA-OR
ORE,45.35,-122.6,51,4.6,20.2,12.2,206,14,1229,356334,OREGON CITY USA-OR
OTS,45.033,-123.933,46,5.1,15.3,10.3,414,34,2517,356366,OTIS 2 NE USA-OR
OWY,43.65,-117.25,732,-0.4,23.1,11.1,26,6,227,356405,OWYHEE DAM USA-OR
PSL,42.7,-120.533,1329,-0.3,19.9,9,37,10,273,356426,PAISLEY USA-OR
PEN,45.683,-118.85,452,0.4,23.2,11.4,44,8,310,356546,PENDLETON WSO         //R USA-O
PRK,45.483,-118.817,517,0.4,21.4,10.5,40,8,353,356634,PILOT ROCK 1 SE USA-OR
POR,45.6,-122.6,6,3.8,19.8,11.7,156,12,950,356751,PORTLAND WSO          //R USA-O
POW,42.883,-124.067,70,6.3,17.7,11.8,294,7,1574,356820,POWERS USA-OR
PRI,44.35,-120.9,866,-0.1,18.1,8.4,33,6,267,356883,PRINEVILLE 4 NW USA-OR
PRS,42.733,-122.517,757,2.3,19.5,10.3,178,7,1062,356907,PROSPECT 2 SW USA-OR
RED,44.267,-121.217,917,-0.1,18.6,8.7,27,8,210,357052,REDMOND 2 W USA-OR
RDA,44.267,-121.15,937,-0.7,18.9,8.4,31,7,217,357062,REDMOND FAA AP USA-OR
REE,43.7,-124.117,18,6.4,15.6,11.2,337,12,1940,357082,REEDSPORT USA-OR
RIC,44.767,-117.167,675,-1.3,23.4,10.8,36,9,301,357160,RICHLAND USA-OR
RID,42.967,-123.35,202,5,20.1,12.2,151,4,803,357169,RIDDLE 2 NNE USA-OR
ROS,43.2,-123.35,142,5.1,20.2,12.1,151,5,847,357331,ROSEBURG KQEN USA-OR
ROU,42.333,-120.883,1490,-1.8,16.8,6.7,57,13,458,357354,ROUND GROVE USA-OR
SAL,44.917,-123.017,60,4.1,19.1,11.1,179,9,1025,357500,SALEM WSO               R USA-O
SEA,45.983,-123.917,3,6.2,15.3,10.9,317,30,1928,357641,SEASIDE USA-OR
SEN,44.15,-118.967,1422,-6,15.2,4.4,41,11,319,357675,SENECA USA-OR
SEX,42.617,-123.367,1169,1.7,17.7,8.8,178,7,969,357698,SEXTON SUMMIT WSO     //R USA-O
SIL,44.867,-122.65,411,2.8,16.7,9.5,319,20,2048,357809,SILVER CREEK FALLS USA-OR
SQU,43.483,-119.683,1425,-2.9,19.4,7.6,36,8,276,358029,SQUAW BUTTE EXP STA USA-OR
STA,44.8,-122.767,142,4.3,18.8,11.3,205,15,1346,358095,STAYTON USA-OR
THR,45.117,-122.067,341,1.9,17.9,9.8,307,14,1837,358466,THREE LYNX USA-OR
TIL,45.45,-123.867,3,5.7,14.6,10.2,378,33,2309,358494,TILLAMOOK 1 W USA-OR
UNI,45.217,-117.883,843,-1.1,19.2,8.8,29,13,356,358746,UNION USA-OR
VAL,43.983,-117.25,683,-1.8,24.2,10.7,33,6,245,358797,VALE USA-OR
WIK,43.683,-121.683,1328,-2.7,16.6,6.4,93,11,516,359316,WICKIUP DAM           // USA-OR
